season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,103,113,9,4,0,1
2018,100,94,25,2,1,0
2018,114,121,8,17,0,1
2018,115,103,11,12,1,0
2018,107,106,14,1,1,0
2018,89,115,20,22,0,1
2018,117,109,30,22,1,0
2018,110,126,28,19,0,1
2018,121,116,13,10,1,0
2018,114,124,16,23,0,1
2018,120,113,18,3,1,0
2018,104,99,26,27,1,0
2018,118,101,21,24,1,0
2018,98,103,5,7,0,1
2018,88,96,15,29,0,1
2018,113,89,6,4,1,0
2018,99,109,8,11,0,1
2018,110,103,10,1,1,0
2018,107,100,18,19,1,0
2018,126,117,14,25,1,0
2018,116,96,24,27,1,0
2018,111,82,2,5,1,0
2018,118,68,7,29,1,0
2018,104,106,28,9,0,1
2018,113,116,17,15,0,1
2018,119,95,30,6,1,0
2018,111,106,22,23,1,0
2018,128,103,21,20,1,0
2018,107,120,3,16,0,1
2018,107,86,11,10,1,0
2018,138,93,8,1,1,0
2018,116,111,13,27,1,0
2018,123,104,17,5,1,0
2018,129,124,19,20,1,0
2018,112,96,18,25,1,0
2018,112,104,15,26,1,0
2018,113,107,23,29,1,0
2018,99,91,12,16,1,0
2018,123,116,2,28,1,0
2018,104,115,30,3,0,1
2018,119,127,3,13,0,1
2018,97,89,12,1,1,0
2018,130,117,22,14,1,0
2018,125,115,19,8,1,0
2018,119,122,4,23,0,1
2018,86,98,2,29,0,1
2018,132,112,11,26,1,0
2018,83,122,5,28,0,1
2018,112,109,7,10,1,0
2018,100,110,24,21,0,1
2018,131,117,22,20,1,0
2018,109,119,30,25,0,1
2018,104,92,27,10,1,0
2018,97,113,16,14,0,1
2018,87,100,18,15,0,1
2018,140,126,19,27,1,0
2018,104,98,17,8,1,0
2018,98,88,15,7,1,0
2018,119,127,1,13,0,1
2018,117,113,26,21,1,0
2018,121,94,12,29,1,0
2018,113,102,9,6,1,0
2018,117,112,4,2,1,0
2018,119,114,23,24,1,0
2018,91,93,22,28,0,1
2018,92,104,16,3,0,1
2018,114,118,20,25,0,1
2018,125,118,30,13,1,0
2018,124,116,5,24,1,0
2018,95,123,10,21,0,1
2018,103,104,27,15,0,1
2018,143,100,17,25,1,0
2018,101,103,18,8,0,1
2018,110,119,29,26,0,1
2018,108,124,1,28,0,1
2018,126,124,11,9,1,0
2018,121,120,23,19,1,0
2018,127,109,4,12,1,0
2018,119,113,7,3,1,0
2018,109,117,2,20,0,1
2018,105,109,6,14,0,1
2018,109,104,21,4,1,0
2018,90,83,14,29,1,0
2018,125,97,10,25,1,0
2018,112,87,8,22,1,0
2018,114,116,17,24,0,1
2018,96,103,5,16,0,1
2018,125,107,28,30,1,0
2018,114,109,20,19,1,0
2018,112,121,23,6,0,1
2018,96,114,1,2,0,1
2018,116,111,9,11,1,0
2018,102,112,3,18,0,1
2018,112,107,13,15,1,0
2018,100,111,12,27,0,1
2018,135,129,17,27,1,0
2018,117,108,6,11,1,0
2018,124,114,30,19,1,0
2018,111,96,18,5,1,0
2018,98,105,21,8,0,1
2018,113,104,7,2,1,0
2018,117,116,10,26,1,0
2018,125,115,28,16,1,0
2018,100,104,25,13,0,1
2018,98,103,15,20,0,1
2018,112,133,26,29,0,1
2018,124,123,1,4,1,0
2018,118,107,9,24,1,0
2018,104,108,14,22,0,1
2018,125,127,3,23,0,1
2018,116,110,10,22,1,0
2018,110,107,4,17,1,0
2018,95,102,6,18,0,1
2018,135,131,30,11,1,0
2018,107,108,5,27,0,1
2018,107,124,19,2,0,1
2018,88,121,29,12,0,1
2018,115,108,9,20,1,0
2018,113,115,16,1,0,1
2018,117,85,8,14,1,0
2018,114,122,15,28,0,1
2018,104,109,24,12,0,1
2018,128,89,18,27,1,0
2018,115,99,13,24,1,0
2018,100,83,21,6,1,0
2018,115,112,25,22,1,0
2018,125,104,19,30,1,0
2018,108,128,11,7,0,1
2018,91,101,3,29,0,1
2018,117,91,23,20,1,0
2018,108,94,4,1,1,0
2018,116,113,17,5,1,0
2018,131,128,28,10,1,0
2018,104,96,14,12,1,0
2018,121,133,26,13,0,1
2018,105,136,27,11,0,1
2018,106,101,16,19,1,0
2018,114,103,14,7,1,0
2018,85,99,24,22,0,1
2018,123,98,23,30,1,0
2018,125,131,3,15,0,1
2018,124,105,21,1,1,0
2018,111,119,4,29,0,1
2018,112,113,25,8,0,1
2018,107,88,9,5,1,0
2018,128,95,2,6,1,0
2018,109,118,18,2,0,1
2018,136,134,20,17,1,0
2018,111,102,9,10,1,0
2018,95,106,6,28,0,1
2018,111,110,26,12,1,0
2018,102,88,30,3,1,0
2018,121,105,11,5,1,0
2018,120,96,14,24,1,0
2018,102,100,16,29,1,0
2018,103,95,23,15,1,0
2018,109,119,4,19,0,1
2018,114,110,7,13,1,0
2018,131,118,27,25,1,0
2018,111,128,1,10,0,1
2018,83,110,9,21,0,1
2018,126,129,19,13,0,1
2018,103,106,28,8,0,1
2018,107,110,20,30,0,1
2018,97,99,3,6,0,1
2018,103,91,18,11,1,0
2018,96,90,12,5,1,0
2018,111,102,7,25,1,0
2018,90,105,16,22,0,1
2018,139,105,29,27,1,0
2018,105,122,24,26,0,1
2018,132,106,19,7,1,0
2018,113,102,28,23,1,0
2018,112,114,3,21,0,1
2018,121,113,14,27,1,0
2018,115,92,17,9,1,0
2018,121,104,18,4,1,0
2018,96,86,15,13,1,0
2018,117,131,1,30,0,1
2018,105,129,6,10,0,1
2018,118,124,22,8,0,1
2018,108,86,25,24,1,0
2018,128,100,2,20,1,0
2018,118,91,29,11,1,0
2018,103,107,19,15,0,1
2018,133,120,27,14,1,0
2018,95,105,17,10,0,1
2018,110,129,6,26,0,1
2018,90,112,22,12,0,1
2018,111,117,9,23,0,1
2018,113,107,4,8,1,0
2018,106,105,3,28,1,0
2018,114,112,5,21,1,0
2018,98,115,24,16,0,1
2018,104,112,20,3,0,1
2018,77,133,5,2,0,1
2018,106,98,1,8,1,0
2018,116,101,6,30,1,0
2018,88,111,15,14,0,1
2018,98,121,13,16,0,1
2018,107,104,7,11,1,0
2018,113,105,25,18,1,0
2018,107,97,12,26,1,0
2018,99,104,28,17,0,1
2018,108,116,9,19,0,1
2018,110,97,27,29,1,0
2018,107,119,20,4,0,1
2018,108,105,14,16,1,0
2018,113,100,2,19,1,0
2018,101,76,7,22,1,0
2018,89,108,5,26,0,1
2018,116,102,23,9,1,0
2018,105,99,8,15,1,0
2018,116,108,10,18,1,0
2018,122,113,21,29,1,0
2018,119,123,24,13,0,1
2018,108,92,17,6,1,0
2018,109,101,12,30,1,0
2018,111,86,27,24,1,0
2018,111,104,11,25,1,0
2018,99,123,13,28,0,1
2018,113,106,6,20,1,0
2018,108,107,4,9,1,0
2018,124,127,23,3,0,1
2018,92,83,15,25,1,0
2018,114,107,7,1,1,0
2018,118,114,19,21,1,0
2018,113,97,12,17,1,0
2018,125,130,30,2,0,1
2018,141,130,26,18,1,0
2018,93,113,10,28,0,1
2018,111,84,29,16,1,0
2018,97,91,22,5,1,0
2018,125,87,27,13,1,0
2018,126,111,11,14,1,0
2018,99,89,24,7,1,0
2018,125,118,3,30,1,0
2018,102,114,6,17,0,1
2018,101,113,23,12,0,1
2018,97,100,15,16,0,1
2018,109,98,8,21,1,0
2018,124,126,4,20,0,1
2018,129,108,2,1,1,0
2018,125,130,26,10,0,1
2018,128,122,25,28,1,0
2018,97,105,15,11,0,1
2018,107,99,24,18,1,0
2018,93,98,27,5,0,1
2018,113,104,9,2,1,0
2018,96,89,22,29,1,0
2018,100,128,4,14,0,1
2018,110,104,21,13,1,0
2018,113,120,7,26,0,1
2018,144,127,3,1,1,0
2018,128,110,30,14,1,0
2018,105,128,6,23,0,1
