id,first_name,last_name,position,height,weight,jersey_number,college,country,draft_year,draft_round,draft_number,team.id,team.conference,team.division,team.city,team.name,team.full_name,team.abbreviation
176,Rudy,Gobert,C,7-1,258,27,Cholet,France,2013,1.0,27.0,18,West,Northwest,Minnesota,Timberwolves,Minnesota Timberwolves,MIN
177,Aaron,Gordon,F,6-8,235,50,Arizona,USA,2014,1.0,4.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
178,Eric,Gordon,G,6-3,215,23,Indiana,USA,2008,1.0,7.0,24,West,Pacific,Phoenix,Suns,Phoenix Suns,PHX
180,Devonte',Graham,G,6-1,195,4,Kansas,USA,2018,2.0,34.0,27,West,Southwest,San Antonio,Spurs,San Antonio Spurs,SAS
182,Jerami,Grant,F,6-7,210,9,Syracuse,USA,2014,2.0,39.0,25,West,Northwest,Portland,Trail Blazers,Portland Trail Blazers,POR
185,Draymond,Green,F,6-6,230,23,Michigan State,USA,2012,2.0,35.0,10,West,Pacific,Golden State,Warriors,Golden State Warriors,GSW
188,Jeff,Green,F,6-8,235,32,Georgetown,USA,2007,1.0,5.0,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
191,Tim,Hardaway Jr.,G,6-5,205,10,Michigan,USA,2013,1.0,24.0,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
192,James,Harden,G,6-5,220,1,Arizona State,USA,2009,1.0,3.0,13,West,Pacific,LA,Clippers,LA Clippers,LAC
196,Gary,Harris,G,6-4,210,14,Michigan State,USA,2014,1.0,19.0,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
200,Tobias,Harris,F,6-8,226,12,Tennessee,USA,2011,1.0,19.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
201,Isaiah,Hartenstein,F-C,7-0,250,55,Zalgiris,Germany,2017,2.0,43.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
202,Josh,Hart,G,6-4,215,3,Villanova,USA,2017,1.0,30.0,20,East,Atlantic,New York,Knicks,New York Knicks,NYK
204,Gordon,Hayward,F,6-7,225,33,Butler,USA,2010,1.0,9.0,21,West,Northwest,Oklahoma City,Thunder,Oklahoma City Thunder,OKC
210,Buddy,Hield,G,6-4,220,17,Oklahoma,Bahamas,2016,1.0,6.0,23,East,Atlantic,Philadelphia,76ers,Philadelphia 76ers,PHI
213,Aaron,Holiday,G,6-0,185,0,UCLA,USA,2018,1.0,23.0,11,West,Southwest,Houston,Rockets,Houston Rockets,HOU
214,Jrue,Holiday,G,6-4,205,4,UCLA,USA,2009,1.0,17.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
217,Richaun,Holmes,F-C,6-9,235,22,Bowling Green,USA,2015,2.0,37.0,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
219,Al,Horford,C-F,6-9,240,42,Florida,Dominican Republic,2007,1.0,3.0,2,East,Atlantic,Boston,Celtics,Boston Celtics,BOS
221,Kevin,Huerter,G,6-7,198,9,Maryland,USA,2018,1.0,19.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
227,Brandon,Ingram,F,6-8,190,14,Duke,USA,2016,1.0,2.0,19,West,Southwest,New Orleans,Pelicans,New Orleans Pelicans,NOP
228,Kyrie,Irving,G,6-2,195,11,Duke,Australia,2011,1.0,1.0,7,West,Southwest,Dallas,Mavericks,Dallas Mavericks,DAL
229,Jonathan,Isaac,F,6-10,230,1,Florida State,USA,2017,1.0,6.0,22,East,Southeast,Orlando,Magic,Orlando Magic,ORL
231,Jaren,Jackson Jr.,F-C,6-10,242,13,Michigan State,USA,2018,1.0,4.0,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
236,Reggie,Jackson,G,6-2,208,7,Boston College,USA,2011,1.0,24.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
237,LeBron,James,F,6-9,250,23,St. Vincent-St. Mary HS (OH),USA,2003,1.0,1.0,14,West,Pacific,Los Angeles,Lakers,Los Angeles Lakers,LAL
242,James,Johnson,F,6-7,240,16,Wake Forest,USA,2009,1.0,16.0,12,East,Central,Indiana,Pacers,Indiana Pacers,IND
246,Nikola,Jokic,C,6-11,284,15,Mega Basket,Serbia,2014,2.0,41.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
248,Damian,Jones,C,6-10,245,30,Vanderbilt,USA,2016,1.0,30.0,6,East,Central,Cleveland,Cavaliers,Cleveland Cavaliers,CLE
249,Tyus,Jones,G,6-1,196,5,Duke,USA,2015,1.0,24.0,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
250,DeAndre,Jordan,C,6-11,265,6,Texas A&M,USA,2008,2.0,35.0,8,West,Northwest,Denver,Nuggets,Denver Nuggets,DEN
254,Luke,Kennard,G,6-5,206,10,Duke,USA,2017,1.0,12.0,15,West,Southwest,Memphis,Grizzlies,Memphis Grizzlies,MEM
265,Kyle,Kuzma,F,6-9,221,33,Utah,USA,2017,1.0,27.0,30,East,Southeast,Washington,Wizards,Washington Wizards,WAS
268,Zach,LaVine,G,6-5,200,8,UCLA,USA,2014,1.0,13.0,5,East,Central,Chicago,Bulls,Chicago Bulls,CHI
273,Alex,Len,C,7-0,250,25,Maryland,Ukraine,2013,1.0,5.0,26,West,Pacific,Sacramento,Kings,Sacramento Kings,SAC
